,Long-form data quality indicators – Housing characteristics (20),Tenure - Non-response rate,Tenure - Imputation rate,Condominium status - Non-response rate,Condominium status - Imputation rate,Number of rooms - Non-response rate,Number of rooms - Imputation rate,Number of bedrooms - Non-response rate,Number of bedrooms - Imputation rate,Period of construction - Non-response rate,Period of construction - Imputation rate,Dwelling condition - Non-response rate,Dwelling condition - Imputation rate,Rent monthly cash - Non-response rate,Rent monthly cash - Imputation rate,Monthly mortgage payments - Non-response rate,Monthly mortgage payments - Imputation rate,Value (owner estimated) - Non-response rate,Value (owner estimated) - Imputation rate,Monthly use or occupancy payment for dwelling - Non-response rate,Monthly use or occupancy payment for dwelling - Imputation rate
Adelaide-Metcalfe (3539047) TP i600,2.9,2,2,2.3,2.3,2.5,2.5,2.5,3,2.5,2.5,2,2,20.6,20.6,10.1,10.1,12.3,12.3,0,0
"Chatham-Kent (CA), Ont. i601",2,2.6,2.3,2.6,2.1,2.7,3.6,2.6,2.9,4,4,2.5,2.5,6.2,6.4,6.1,6.2,7.5,8.5,55.6,55.6
Chatham-Kent (3536020) MU i602,1.9,2.5,2.2,2.5,2,2.6,3.5,2.5,2.8,3.9,3.9,2.4,2.4,6.1,6.3,6,6.1,7.4,8.3,0,0
Moravian 47 (3536029) IRI i603,30.7,33.3,40,36.7,36.7,33.3,40,33.3,33.3,36.7,36.7,33.3,33.3,40,40,37.5,37.5,43.8,56.3,55.6,55.6
"Windsor (CMA), Ont. i604",3.1,2.6,2.1,2.4,2,2.4,4.3,2.3,2.6,3.1,3.1,2.4,2.4,5,5.2,4.7,4.8,6.1,7.3,0,0
Leamington (3537003) MU i605,3.3,3.2,3,3.7,3.2,3.2,5.7,3.1,3.4,4.3,4.3,3.1,3.1,5.4,5.6,6.9,7.2,8,9.4,0,0
Kingsville (3537013) T i606,2.3,1.8,1.4,1.7,1.5,1.5,2.5,1.4,1.6,2.5,2.5,1.4,1.4,5.9,6.3,4.7,5,6.1,7.1,0,0
Essex (3537016) T i607,3.8,2.9,2.5,2.6,2.3,2.7,3.5,2.9,3,3.4,3.4,2.6,2.6,7.3,7.8,5.9,6,7.3,8.3,0,0
Amherstburg (3537028) T i608,2.4,2.3,2,2,1.5,2.1,3.3,2.2,2.2,2.7,2.7,2.2,2.2,6.7,7.1,4.7,5,6.9,8.3,0,0
LaSalle (3537034) T i609,1.6,1.8,1.6,1.6,1.7,1.7,2.6,1.6,1.8,1.6,1.6,1.7,1.7,4.5,5,3.6,3.6,4.1,4.9,0,0
Windsor (3537039) CY i610,3.6,2.7,2.2,2.5,1.9,2.5,4.8,2.5,2.8,3.4,3.4,2.5,2.5,4.8,5,4.4,4.6,6,7.1,0,0
Tecumseh (3537048) T i611,1.7,2,1.8,2.2,1.9,2.1,3.9,2,2.2,2.2,2.2,2.1,2.1,4,4,4.1,4.1,5.6,6.4,0,0
Lakeshore (3537064) T i612,2.4,2.4,2.1,2.3,2.2,2.2,3.3,2.1,2.3,2.4,2.4,2.1,2.1,5.8,5.8,5.2,5.4,6.7,8.2,0,0
"Sarnia (CA), Ont. i613",2.3,2.8,2.4,2.6,1.8,2.6,3.7,2.6,2.8,3.2,3.2,2.5,2.5,6,6.3,4.9,5.1,6,7,30.8,30.8
St. Clair (3538003) TP i614,2,1.7,1.5,1.6,1.7,1.5,2.6,1.6,1.8,2.1,2.1,1.7,1.7,6.2,6.2,7.1,7.1,7.8,9.2,0,0
Sarnia 45 (3538025) IRI i615,19.1,24.5,26.4,26.4,24.5,26.4,28.3,26.4,26.4,26.4,26.4,26.4,26.4,40,40,28.6,28.6,28.6,28.6,30.8,30.8
Sarnia (3538030) CY i616,2.1,2.9,2.4,2.6,1.6,2.6,3.9,2.5,2.8,3.2,3.2,2.5,2.5,5.8,6.1,4,4.3,5.3,6.2,0,0
Point Edward (3538031) VL i617,2.9,3.2,3.2,2.7,2.7,3.2,3.7,3.2,3.7,4.8,4.8,3.2,3.2,0,0,5.6,5.6,8.8,10,0,0
Plympton-Wyoming (3538035) T i618,2.9,2.7,2.4,2.5,2,2.5,2.8,2.5,2.5,2.2,2.2,2.1,2.1,8.1,8.1,6.6,7.1,7.1,8.1,0,0
"Essa (CA), Ont. i619",2.7,3.1,2.8,2.9,2.5,3,4.5,2.8,2.9,3.2,3.2,2.8,2.8,5.9,5.9,5,5.2,6,7.5,0,0
Essa (3543021) TP i620,2.7,3.1,2.8,2.9,2.5,3,4.5,2.8,2.9,3.2,3.2,2.8,2.8,5.9,5.9,5,5.2,6,7.5,0,0
"Wasaga Beach (CA), Ont. i621",4.5,1.8,1.6,1.8,1.7,1.7,2.9,1.8,1.9,1.7,1.7,1.7,1.7,4.8,4.8,3.3,3.4,4.2,4.9,0,0
Wasaga Beach (3543064) T i622,4.5,1.8,1.6,1.8,1.7,1.7,2.9,1.8,1.9,1.7,1.7,1.7,1.7,4.8,4.8,3.3,3.4,4.2,4.9,0,0
"Owen Sound (CA), Ont. i623",2.9,2.3,2,2.2,1.7,2.1,3.4,2.1,2.3,3,3,2.2,2.2,4.7,5.5,4.9,5.1,6.2,7.6,0,0
Georgian Bluffs (3542053) TP i624,2.6,1.7,1.4,1.7,1.6,1.4,2.6,1.7,2,1.6,1.6,1.4,1.4,6.6,6.6,5.9,6,7.4,9.1,0,0
Owen Sound (3542059) CY i625,3.1,2.5,2.2,2.4,1.7,2.4,3.8,2.3,2.5,3.7,3.7,2.4,2.4,4.6,5.4,4.3,4.5,5.3,6.5,0,0
"Collingwood (CA), Ont. i626",3.4,3,2.6,2.5,2,2.6,3.6,2.6,2.9,2.8,2.8,2.7,2.7,7.2,7.2,3,3.1,4.1,5.4,0,0
Collingwood (3543031) T i627,3.4,3,2.6,2.5,2,2.6,3.6,2.6,2.9,2.8,2.8,2.7,2.7,7.2,7.2,3,3.1,4.1,5.4,0,0
"Barrie (CMA), Ont. i628",4,2.6,2.4,2.5,2.1,2.5,4,2.5,2.7,3.2,3.2,2.5,2.5,5.4,5.5,4.4,4.5,5.2,6.1,0,0
Springwater (3543009) TP i629,2.8,1.7,1.7,1.7,1.5,1.8,3,1.7,1.7,1.9,1.9,1.7,1.7,9.7,9.7,4,4.2,4.6,5.5,0,0
Innisfil (3543017) T i630,6.5,2.7,2.4,2.5,2.7,2.6,3.5,2.6,2.8,2.8,2.8,2.5,2.5,5.1,5.1,5.4,5.6,6.6,8,0,0
Barrie (3543042) CY i631,3.4,2.7,2.4,2.6,2.1,2.6,4.3,2.5,2.8,3.5,3.5,2.6,2.6,5.3,5.3,4.1,4.2,4.8,5.6,0,0
"Orillia (CA), Ont. i632",4.4,3.2,2.7,2.9,2.1,2.9,5.3,3,3.2,3.7,3.7,2.7,2.7,6.4,6.5,4.3,4.3,5.8,6.5,0,0
Orillia (3543052) CY i633,4.4,3.2,2.7,2.9,2.1,2.9,5.3,3,3.2,3.7,3.7,2.7,2.7,6.4,6.5,4.3,4.3,5.8,6.5,0,0
"Midland (CA), Ont. i634",3.3,3.4,3,3.2,2.8,3,4.6,3.1,3.4,4,4,3.3,3.3,5.6,5.7,4.5,4.8,5.9,6.7,0,0
Penetanguishene (3543072) T i635,3.7,3.5,3,3.4,3,3.3,6,3.3,3.6,4.4,4.4,3.3,3.3,5.7,5.7,4,4.2,5.3,6.3,0,0
Midland (3543074) T i636,3.1,3.4,3.1,3.1,2.6,2.9,3.8,3,3.3,3.9,3.9,3.2,3.2,5.8,5.8,4.9,5.1,6.3,7,0,0
"North Bay (CA), Ont. i637",4.1,2.9,2.4,2.8,2.1,2.6,4.9,2.7,2.9,3.7,3.7,2.6,2.6,5.1,5.5,4.6,4.7,5.5,6.2,0,0
Bonfield (3548027) TP i638,5.1,1.1,1.1,1.7,1.1,1.1,3.4,1.1,1.7,1.7,1.7,1.1,1.1,0,0,5.7,5.7,7.6,8.9,0,0
Chisholm (3548031) TP i639,3.6,6.9,6.9,7.9,6.9,6.9,8.8,6.9,6.9,5.9,5.9,6.9,6.9,0,0,18.8,18.8,21.9,24,0,0
East Ferris (3548034) MU i640,3.6,1.1,0.8,0.8,0.8,0.8,1.6,0.8,1.3,2.1,2.1,0.8,0.8,0,0,2.8,3.1,2.8,3.1,0,0
North Bay (3548044) CY i641,3.8,3,2.5,3,2.1,2.9,5.4,2.9,3.2,4,4,2.8,2.8,5.1,5.5,4,4,4.6,5.2,0,0
"Nipissing, Unorganized, North Part (3548094) NO i642",15.9,3.4,3.4,3.4,2.1,2.1,4.1,2.1,2.1,2.1,2.1,2.1,2.1,0,0,5.4,5.4,8.5,10,0,0
Powassan (3549060) MU i643,3.3,3.4,2.6,2.7,2.7,2.6,3.4,2.6,2.6,4.1,4.1,3,3,0,0,7.3,7.8,9.1,11,0,0
Callander (3549066) MU i644,2.8,2.1,1.2,0.9,0.9,0.9,2.4,0.9,0.9,1.8,1.8,0.9,0.9,0,0,3.5,3.5,4.5,5.2,0,0
Nipissing (3549071) TP i645,4.6,2.7,2.7,2.8,2.8,3.4,4.8,2.7,3.4,2.7,2.7,2.7,2.7,0,0,9,9,9,10.4,0,0
"Greater Sudbury (CMA), Ont. i646",5,2.8,2.5,2.7,2,2.6,4.6,2.6,3,3.8,3.8,2.7,2.7,5.4,5.7,4.4,4.6,5.3,6.2,30.8,30.8
St.-Charles (3552004) MU i647,9.5,5.6,4.8,4.1,4.1,4.8,5.6,4,4,4.8,4.8,4.8,4.8,0,0,7.1,7.1,7.1,8.1,0,0
Markstay-Warren (3552013) MU i648,7.2,4.1,4.1,4.1,4.1,4.1,5.9,4.1,5,5.9,5.9,5,5,0,0,8.2,8.2,10.8,11.3,0,0
Whitefish Lake 6 (3552051) IRI i649,12.9,22.2,18.5,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,0,0,23.1,23.1,30.8,30.8,18.2,27.3
Greater Sudbury / Grand Sudbury (3553005) CV i650,4.9,2.7,2.4,2.6,1.9,2.5,4.5,2.6,2.9,3.7,3.7,2.6,2.6,5.4,5.6,4.2,4.4,5.1,6.1,0,0
Wahnapitei 11 (3553040) IRI i651,6.1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,33.3,0,0
"Elliot Lake (CA), Ont. i652",2.7,3.3,2.9,3.2,1.9,3.1,4.6,3,3.3,4,4,3.6,3.6,6.3,6.8,5.8,6.1,8,8.6,0,0
Elliot Lake (3557041) CY i653,2.7,3.3,2.9,3.2,1.9,3.1,4.6,3,3.3,4,4,3.6,3.6,6.3,6.8,5.8,6.1,8,8.6,0,0
"Timmins (CA), Ont. i654",4.1,2.6,2.3,2.6,2,2.6,4,2.6,2.9,3.4,3.4,2.4,2.4,5.9,6.2,4,4,5.4,6.2,0,0
Timmins (3556027) CY i655,4.1,2.6,2.3,2.6,2,2.6,4,2.6,2.9,3.4,3.4,2.4,2.4,5.9,6.2,4,4,5.4,6.2,0,0
"Sault Ste. Marie (CA), Ont. i656",4.8,3.6,3.3,3.5,2.7,3.5,4.9,3.4,3.7,4.7,4.7,3.5,3.5,7.3,7.5,5.3,5.5,6.8,7.6,46.9,46.9
Laird (3557011) TP i657,3.5,4.3,3.2,3.3,3.3,3.2,4.3,3.2,3.2,3.2,3.2,3.2,3.2,0,0,14,14,17.4,17.4,0,0
"Macdonald, Meredith and Aberdeen Additional (3557051) TP i658",6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.8,5.7,6.7,0,0
Sault Ste. Marie (3557061) CY i659,4.6,3.3,2.9,3.2,2.4,3.2,4.6,3.1,3.4,4.5,4.5,3.2,3.2,7.1,7.3,4.9,5.1,6.3,7.1,0,0
Prince (3557066) TP i660,3,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,3.9,3.9,3.9,3.9,0,0
Garden River 14 (3557074) IRI i661,19.6,33.7,39.8,36.1,34.9,34.9,34.9,34.9,36.1,34.9,34.9,33.7,33.7,40,40,32.6,32.6,41.3,43.5,46.9,46.9
Rankin Location 15D (3557075) IRI i662,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Thunder Bay (CMA), Ont. i663",5.7,2.9,2.5,2.8,2.3,2.6,4.2,2.6,2.8,3.9,3.9,2.8,2.8,6.7,6.9,4.1,4.2,5.2,6,58.3,58.3
Neebing (3558001) MU i664,13.4,3.2,3.2,3.3,3.3,2.7,2.7,2.7,2.7,3.2,3.2,2.7,2.7,44.4,44.4,4.1,4.1,4.1,5.2,0,0
Fort William 52 (3558003) IRI i665,13.6,17.8,20.5,20.5,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,0,0,21.2,21.2,30.8,30.8,58.3,58.3
Thunder Bay (3558004) CY i666,5.1,2.8,2.4,2.7,2.2,2.5,4.1,2.5,2.7,4,4,2.7,2.7,6.5,6.7,3.8,4,4.9,5.7,0,0
Oliver Paipoonge (3558011) MU i667,6.6,2.6,2.6,3.1,2.9,3,4.1,2.6,2.6,2.6,2.6,2.4,2.4,0,0,5.9,5.9,6.6,7.3,0,0
Gillies (3558012) TP i668,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0
O'Connor (3558016) TP i669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conmee (3558019) TP i670,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,9.3,11.1,11.1,0,0
Shuniah (3558028) MU i671,18.4,1.4,1.4,1.4,1.8,2.1,3.5,1.8,1.8,2.1,2.1,2.1,2.1,0,0,3.3,3.3,4.8,5.9,0,0
"Kenora (CA), Ont. i672",5.1,1.7,1.5,1.7,1.5,1.9,2.9,2.2,2.3,2.8,2.8,1.7,1.7,4.6,5.2,2.6,2.7,2.9,3.7,0,0
Kenora (3560010) CY i673,5.1,1.7,1.5,1.7,1.5,1.9,2.9,2.2,2.3,2.8,2.8,1.7,1.7,4.6,5.2,2.6,2.7,2.9,3.7,0,0
,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,
x, suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Abbreviation notes:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
List of abbreviations and acronyms found within various Census products.,,,,,,,,,,,,,,,,,,,,,
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
iBall:,,,,,,,,,,,,,,,,,,,,,
i1,Geography name: Canada; Geographic area type: Country; Geographic area type abbreviation: Country; Geographic level: Country; Province or territory abbreviation: ...; Dissemination Geography Unique Identifier (DGUID): 2021A000011124; Alternative geographic code: 01; Province or territory geocode: 01; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements.,,,,,,,,,,,,,,,,,,,,
i456,Geography name: Ontario; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A000235; Alternative geographic code: 35; Province or territory geocode: 35; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements.,,,,,,,,,,,,,,,,,,,,
i457,Geography name: Cornwall; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504501; Alternative geographic code: 501; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i458,Geography name: South Stormont; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053501011; Alternative geographic code: 3501011; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i459,Geography name: Cornwall; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053501012; Alternative geographic code: 3501012; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i460,Geography name: Hawkesbury; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont. / Que.; Dissemination Geography Unique Identifier (DGUID): 2021S0504502; Alternative geographic code: 502; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i461,Geography name: Grenville; Geographic area type: Village; Geographic area type abbreviation: VL; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052476055; Alternative geographic code: 2476055; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i462,Geography name: Hawkesbury; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053502008; Alternative geographic code: 3502008; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i463,Geography name: Ottawa - Gatineau; Geographic area type: Census metropolitan area; Geographic area type abbreviation: CMA; Geographic level: Census metropolitan area; Province or territory abbreviation: Ont. / Que.; Dissemination Geography Unique Identifier (DGUID): 2021S0503505; Alternative geographic code: 505; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i464,Geography name: Thurso; Geographic area type: Ville; Geographic area type abbreviation: V; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052480050; Alternative geographic code: 2480050; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i465,Geography name: Lochaber; Geographic area type: Canton (municipalité de); Geographic area type abbreviation: CT; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052480055; Alternative geographic code: 2480055; Province or territory geocode: 24; Data quality flag: 00010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i466,Geography name: Lochaber-Partie-Ouest; Geographic area type: Canton (municipalité de); Geographic area type abbreviation: CT; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052480060; Alternative geographic code: 2480060; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i467,Geography name: Mayo; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052480065; Alternative geographic code: 2480065; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i468,Geography name: Mulgrave-et-Derry; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052480085; Alternative geographic code: 2480085; Province or territory geocode: 24; Data quality flag: 02020; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i469,Geography name: Val-des-Bois; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052480140; Alternative geographic code: 2480140; Province or territory geocode: 24; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i470,Geography name: Bowman; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052480145; Alternative geographic code: 2480145; Province or territory geocode: 24; Data quality flag: 01010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i471,Geography name: Gatineau; Geographic area type: Ville; Geographic area type abbreviation: V; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052481017; Alternative geographic code: 2481017; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i472,Geography name: L'Ange-Gardien; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052482005; Alternative geographic code: 2482005; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i473,Geography name: Notre-Dame-de-la-Salette; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052482010; Alternative geographic code: 2482010; Province or territory geocode: 24; Data quality flag: 00010; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i474,Geography name: Val-des-Monts; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052482015; Alternative geographic code: 2482015; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i475,Geography name: Cantley; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052482020; Alternative geographic code: 2482020; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i476,Geography name: Chelsea; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052482025; Alternative geographic code: 2482025; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i477,Geography name: Pontiac; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052482030; Alternative geographic code: 2482030; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i478,Geography name: La Pêche; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052482035; Alternative geographic code: 2482035; Province or territory geocode: 24; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i479,Geography name: Denholm; Geographic area type: Municipalité; Geographic area type abbreviation: MÉ; Geographic level: Census subdivision; Province or territory abbreviation: Que.; Dissemination Geography Unique Identifier (DGUID): 2021A00052483005; Alternative geographic code: 2483005; Province or territory geocode: 24; Data quality flag: 02020; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i480,Geography name: Clarence-Rockland; Geographic area type: City; Geographic area type abbreviation: C; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053502036; Alternative geographic code: 3502036; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i481,Geography name: Russell; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053502048; Alternative geographic code: 3502048; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i482,Geography name: Ottawa; Geographic area type: City; Geographic area type abbreviation: CV; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053506008; Alternative geographic code: 3506008; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i483,Geography name: North Grenville; Geographic area type: Municipality; Geographic area type abbreviation: MU; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053507065; Alternative geographic code: 3507065; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i484,Geography name: Beckwith; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053509024; Alternative geographic code: 3509024; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i485,Geography name: Carleton Place; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053509028; Alternative geographic code: 3509028; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i486,Geography name: Mississippi Mills; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053509030; Alternative geographic code: 3509030; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i487,Geography name: Arnprior; Geographic area type: Town; Geographic area type abbreviation: T; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053547002; Alternative geographic code: 3547002; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i488,Geography name: McNab/Braeside; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053547003; Alternative geographic code: 3547003; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i489,Geography name: Brockville; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504512; Alternative geographic code: 512; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i490,Geography name: Elizabethtown-Kitley; Geographic area type: Township; Geographic area type abbreviation: TP; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053507014; Alternative geographic code: 3507014; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i491,Geography name: Brockville; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053507015; Alternative geographic code: 3507015; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i492,Geography name: Pembroke; Geographic area type: Census agglomeration; Geographic area type abbreviation: CA; Geographic level: Census agglomeration; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021S0504515; Alternative geographic code: 515; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
i493,Geography name: Pembroke; Geographic area type: City; Geographic area type abbreviation: CY; Geographic level: Census subdivision; Province or territory abbreviation: Ont.; Dissemination Geography Unique Identifier (DGUID): 2021A00053547064; Alternative geographic code: 3547064; Province or territory geocode: 35; Data quality flag: 00000; Data quality note: ...,,,,,,,,,,,,,,,,,,,,
